0..	stderr	CONTEXTUAL TEST	PROVIDER_TO_CHECK:DATA_FOLDER	Missing data in any DATA FOLDERS
[37]..	stderr	CONTEXTUAL TEST	MY_ORG_TO_CHECK:DATA_FOLDER	Data exist in several DATA FOLDERS without respecting design rules
.[3567].	stderr	CONTEXTUAL TEST	PROVIDER_TO_CHECK:PROVIDER_FLAGS	Several PROVIDER FLAGS are available
..[3567]	stderr	CONTEXTUAL TEST	MY_ORG_TO_CHECK:MY_ORG_FLAGS	Several MY_ORG FLAGS are available
410	stdout	INTER-CONTEXT CONSISTENCY TEST	TO_BE_PROCESSED:FORCED	FORCED data can be processed
420	stdout	INTER-CONTEXT CONSISTENCY TEST	TO_BE_PROCESSED:LEGACY	LEGACY data can be processed
440	stdout	INTER-CONTEXT CONSISTENCY TEST	TO_BE_PROCESSED:PASS	PASS data can be processed
422	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_REVIEW:LEGACY	LEGACY data TO_REVIEW
442	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_REVIEW:PASS	PASS data TO_REVIEW
412	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_REVIEW:FORCED	FORCED data TO_REVIEW 
[1256][124]0	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_CHECK:FINAL_FOLDER&FINAL_FLAGS	data found in a FINAL_FOLDER but no FINAL_FLAG have been found
[15]11	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_CHECK:MY_ORG_FLAG&DATA_FOLDER	REJECTED flag does not correspond to FINAL_FOLDER content
[246][124]1	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_CHECK:MY_ORG_FLAG&DATA_FOLDER	REJECTED flag does not correspond to FINAL_FOLDER content
[1256][124]2	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_CHECK:MY_ORG_FLAG&DATA_FOLDER	TO_REVIEW flag does not correspond to FINAL_FOLDER content
[145].4	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_CHECK:MY_ORG_FLAG&DATA_FOLDER	DELIVERED flag does not correspond to FINAL_FOLDER content
[15][24]1	stderr	INTER-CONTEXT CONSISTENCY TEST	PROVIDER_TO_CLEAN:FINAL_FLAG	Data have been REJECTED, PROVIDER FLAG and DROPBOX FOLDER can be cleaned
[26][124]4	stderr	INTER-CONTEXT CONSISTENCY TEST	PROVIDER_TO_CLEAN:FINAL_FLAG	Data have been DELIVERED, PROVIDER FLAG and DROPBOX FOLDER can be cleaned
...	stderr	INTER-CONTEXT CONSISTENCY TEST	MY_ORG_TO_CHECK:UNEXPECTED_ERROR	An unexpected combinaison have been encountered